# Standardized format: timestamp,action,coin,amount,price,portfolio_value
# Old entries filled with placeholders for missing fields
2025-05-19T23:19:53.532852,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:55.535836,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:57.540466,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:59.543864,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:05.550835,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:13.559375,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:15.564185,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:19.571760,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:21.576452,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:23.579355,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:25.584567,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:27.589057,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:29.592889,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:35.600673,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:41.608737,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:45.614274,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:47.618914,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:20:57.630085,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:01.636158,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:19.660031,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:27.669898,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:29.673715,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:33.679780,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:37.687298,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:39.693036,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:41.698524,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:45.704463,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:55.716774,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:21:59.723380,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:01.726175,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:03.729464,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:05.731825,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:13.743251,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:15.746425,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:19.753396,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:23.759793,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:25.765170,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:29.771031,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:35.778889,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:39.784005,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:45.794318,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:22:51.803190,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:05.820796,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:09.827544,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:29.852484,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:35.861772,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:50.357383,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:54.364680,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:56.367878,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:23:58.371866,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:02.379627,SELL,UNKNOWN,NaN,NaN,NaN
